Policy,Dike Ring,Exp. Deaths (Mean),Max Regret (Deaths),Investment Cost (Mean),Max Regret (Invest.)
Policy 6 (Seed 20),A.1,0.09464649629545338,1.5663883235698133,144472542.26507536,3314304389.7221246
Policy 6 (Seed 20),A.2,0.002156840793939327,0.75873795584463,68307493.75749381,1041715490.6018556
Policy 6 (Seed 20),A.3,5.379771796841348e-05,0.4258383808979427,44244540.435428046,273187725.36331403
Policy 6 (Seed 20),A.4,0.014387122128996968,0.0661840942036564,30754855.513860554,212553042.74574035
Policy 6 (Seed 20),A.5,0.08607269515400241,0.9279894460610932,95528605.86683536,1451457412.1270647
Policy 7 (Seed 21),A.1,0.1577272068018797,1.5705535179687715,273324268.07151556,3320708459.3210545
Policy 7 (Seed 21),A.2,0.002882218057017218,0.7376896828384303,62500186.83954116,1046515085.1083862
Policy 7 (Seed 21),A.3,0.00013433895171102367,1.1173676254933156,37360864.652836,735921105.2348261
Policy 7 (Seed 21),A.4,0.013717669373383862,0.0661840942036564,29404133.587587934,212553042.74574035
Policy 7 (Seed 21),A.5,0.08208246684073416,0.9279894460610932,91188210.13060392,1451457412.1270647
Policy 8 (Seed 20),A.1,0.09464649629545338,1.5663883235698133,144472542.26507536,3314304389.7221246
Policy 8 (Seed 20),A.2,0.0030530583171203274,0.7376896828384303,62680012.906858996,1046515085.1083862
Policy 8 (Seed 20),A.3,4.492240126348073e-05,0.4092843643855952,40634382.88239386,266422984.98337454
Policy 8 (Seed 20),A.4,0.014353427514934444,0.0661840942036564,30698196.065189786,212553042.74574035
Policy 8 (Seed 20),A.5,0.08582902028981212,0.9279894460610932,95273568.42901301,1451457412.1270647
Policy 8 (Seed 21),A.1,0.09464649629545338,1.5663883235698133,144472542.26507536,3314304389.7221246
Policy 8 (Seed 21),A.2,0.0011336910660053148,0.7666637259726466,74490395.996688,1033701871.4031026
Policy 8 (Seed 21),A.3,9.417839568727981e-05,0.70645036793069,44266269.88645943,455669059.08920264
Policy 8 (Seed 21),A.4,0.020836595192269713,0.0794874621699982,43431185.69299938,243393957.42553252
Policy 8 (Seed 21),A.5,0.16204720730230093,1.1562880481747957,177707335.4484343,1736741237.6365628
