Policy,Expected Annual Damage Mean,Expected Annual Damage Std,Expected Annual Damage CV,Expected Annual Damage Max Regret,Expected Annual Damage Mean Regret,Expected Annual Damage Rank Std,Dike Investment Costs Mean,Dike Investment Costs Std,Dike Investment Costs CV,Dike Investment Costs Max Regret,Dike Investment Costs Mean Regret,Dike Investment Costs Rank Std,RfR Investment Costs Mean,RfR Investment Costs Std,RfR Investment Costs CV,RfR Investment Costs Max Regret,RfR Investment Costs Mean Regret,RfR Investment Costs Rank Std,Evacuation Costs Mean,Evacuation Costs Std,Evacuation Costs CV,Evacuation Costs Max Regret,Evacuation Costs Mean Regret,Evacuation Costs Rank Std,Expected Number of Deaths Mean,Expected Number of Deaths Std,Expected Number of Deaths CV,Expected Number of Deaths Max Regret,Expected Number of Deaths Mean Regret,Expected Number of Deaths Rank Std,Total Costs Mean,Total Costs Std,Total Costs CV,Total Costs Max Regret,Total Costs Mean Regret,Total Costs Rank Std,Satisficing Count,Total Scenarios
policy NEW RWS 1,372135536.9,357633538.4,0.961030332,1696694619,278827075.9,0,65041277.87,2.24E-08,3.44E-16,0,0,0,236500000,0,0,0,0,0,20845.63559,18588.90679,0.891740945,67677.65899,15569.2985,0,0.057218791,0.063342122,1.107016089,0.217281436,0.043980775,0,673697660.4,357651104.7,0.53087776,1172105714,79954773.49,0.742627427,0,1000
policy NEW RWS 2,173706460.9,277836025.2,1.599457059,1493962391,80397999.99,0.205197724,116697859.7,4.47E-08,3.83E-16,51656581.79,51656581.79,0,473000000,0,0,236500000,236500000,0,9500.326055,14533.36171,1.529775044,56948.27439,4223.988965,0.205197724,0.026760127,0.047623189,1.779632415,0.192865904,0.01352211,0.205197724,763413820.9,277850141.4,0.363957442,1257475410,169670934,0.453648318,0,1000
policy NEW RWS 3,93308460.94,185005967.4,1.982735173,0,0,0,116697859.7,4.47E-08,3.83E-16,51656581.79,51656581.79,0,709500000,0,0,473000000,473000000,0,5276.33709,10139.67712,1.921726559,0,0,0,0.013238016,0.030378372,2.294782845,0,0,0,919511596.9,185015970.7,0.201211134,523502806.1,325768710.1,0.579799247,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy Overijssel,101414732.9,256098235.4,2.525256717,2242264222,64985062.3,1.323773537,116486620.3,1.49E-08,1.28E-16,0,0,0,345900000,0,0,230600000,230600000,0,2289.22481,4223.709369,1.845039137,35404.18118,2289.22481,1.343218238,0.033655811,0.075391553,2.240075336,0.580148475,0.027909405,1.678394473,563803642.4,256101194.7,0.454238276,2280297839,174125133.2,1.195326234,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW RWS  1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,,,,,
NEW RWS  2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,,,,,
NEW RWS  3,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy Overijssel,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,5,0,0,4,0,0,,,,,,,
policy Overijssel,101414732.9,256098235.4,2.525256717,2242264222,64985062.3,1.323773537,116486620.3,1.49E-08,1.28E-16,0,0,0,345900000,0,0,230600000,230600000,0,2289.22481,4223.709369,1.845039137,35404.18118,2289.22481,1.343218238,0.033655811,0.075391553,2.240075336,0.580148475,0.027909405,1.678394473,563803642.4,256101194.7,0.454238276,2280297839,174125133.2,1.195326234,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back up RfR3 - 1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,3,0,0,3,0,0,6,0,0,4,0,0,,,,,,,
Back up RfR3 - 2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,,,,,,,
Back up RfR3 - 1 run 2,899644933.1,982644833.9,1.09225851,2913856901,863215262.5,2.924225555,118004306.6,0,0,1517686.313,1517686.313,0,455700000,0,0,340400000,340400000,0,5190.382727,5320.131459,1.024997912,46962.60482,5190.382727,2.469808891,0.223001269,0.236796027,1.06185955,1.056848912,0.217254862,2.772494495,1473354430,982649886.2,0.666947386,3045072220,1083675921,1.354920961,0,1000
Back up RfR3 -2 run 2,354927161.9,610088737.9,1.718912508,2888173919,318497491.3,1.740115802,116537584.8,2.98E-08,2.56E-16,50964.50187,50964.50187,0,213300000,0,0,98000000,98000000,0,0,0,inf,0,0,0,0.261227435,0.414068394,1.585087698,2.053600965,0.255481028,1.243193279,684764746.7,610088737.9,0.890946476,2803400789,295086237.5,2.408442774,0,1000
